epoch,accuracy,loss,val_accuracy,val_loss
0,0.54133064,0.1520383254654946,0.2696228,0.1203065582740237
1,0.62903225,0.05794178958862058,0.32730103,0.07035663166971062
2,0.58870965,0.03573499824250898,0.3166504,0.07387991995346965
3,0.5766129,0.03163338326398404,0.30529785,0.07113346898040618
4,0.6280242,0.030772057572199453,0.40014648,0.07121304120664718
5,0.58971775,0.035818725523929444,0.32104492,0.07645183008207823
6,0.5947581,0.03807748986348029,0.3001709,0.07481917938639526
7,0.54939514,0.03654347936953268,0.31188965,0.07306526661704993
8,0.63004035,0.0391214819805276,0.4275818,0.07384231768810423
9,0.69959676,0.03361804146439799,0.27557373,0.07066132166801253
10,0.7721774,0.029590749452191013,0.31756592,0.0751097538486647
11,0.766129,0.029415869724846656,0.31237793,0.07229680026284768
